order_id,order_date,customer_id,customer_name,product_id,product_name,category,quantity,unit_price,country
1001,2024-01-05,C001,Ahmed Khan,P001,Laptop,Electronics,1,1200,Australia
1002,2024-01-08,C002,Sarah Lee,P002,Mouse,Electronics,2,25,Australia
1003,2024-01-12,C003,John Smith,P003,Office Chair,Furniture,1,180,Australia
1004,2024-02-02,C001,Ahmed Khan,P004,Keyboard,Electronics,1,75,Australia
1005,2024-02-10,C004,Maria Garcia,P005,Desk,Furniture,1,300,New Zealand
1006,2024-03-15,C002,Sarah Lee,P001,Laptop,Electronics,1,1200,Australia
1007,2024-03-21,C005,David Brown,P006,Monitor,Electronics,2,250,Australia
1008,2024-04-03,C003,John Smith,P002,Mouse,Electronics,1,25,Australia
1009,2024-04-18,C006,Aisha Rahman,P007,Notebook,Stationery,5,8,Australia
1010,2024-05-01,C001,Ahmed Khan,P006,Monitor,Electronics,1,250,Australia
